custid,created,firstorder,lastorder,esent,eopenrate,eclickrate,avgorder,ordfreq,paperless,refill,doorstep,favday,city,Sample,lost
XQ5DNQ,19/05/2013,20/05/2013,14/08/2013,46,21.73913043,0,106.88,0.023255814,N,N,N,Wednesday,RIC,Estimation,N
55MJDY,31/07/2011,17/11/2011,17/11/2011,45,0,0,51.74,0,Y,N,N,Thursday,CHO,Holdout,NA
WUABYY,14/06/2013,16/06/2013,19/07/2013,43,11.62790698,0,77.66,0.060606061,Y,N,N,Wednesday,RIC,Estimation,N
MT6MKD,17/12/2012,26/08/2013,02/09/2013,33,57.57575758,0,111.13,0.285714286,N,N,N,Tuesday,RIC,Validation,N
ZBLRQX,23/04/2013,23/04/2013,26/09/2013,42,26.19047619,2.380952381,41.61,0.019230769,N,N,N,Monday,CHO,Estimation,N
8JEJAP,12/05/2013,16/06/2013,30/06/2013,45,2.222222222,0,112.67,0.214285714,N,N,N,Monday,CHO,Estimation,N
LKHQAL,21/05/2013,21/05/2013,04/06/2013,42,28.57142857,0,73.94,0.142857143,N,N,N,Wednesday,RIC,Validation,N
NJGCWE,27/04/2013,11/06/2013,11/06/2013,30,100,NA,49.99,0,Y,N,N,Saturday,BWI,Estimation,N
7PGLNB,19/06/2013,30/07/2013,30/07/2013,40,7.5,5,224.7,0,Y,N,N,Tuesday,BWI,Estimation,N
RKZJ2F,21/04/2013,29/05/2013,29/05/2013,0,0,0,80.58,0,N,N,N,Thursday,DCX,Holdout,NA
H48TEN,13/04/2013,30/06/2013,30/06/2013,45,0,NA,53.12,0,N,N,N,Monday,RIC,Estimation,N
MHZ3V9,17/03/2013,05/05/2013,28/07/2013,45,2.222222222,NA,90.35,0.035714286,N,N,N,Tuesday,DCX,Holdout,NA
Q98U9Z,11/09/2011,13/09/2011,28/09/2011,44,9.090909091,2.272727273,28.06,0.133333333,N,N,N,Wednesday,RIC,Estimation,N
93PF7A,10/02/2013,17/02/2013,17/02/2013,45,0,0,52.55,0,N,N,N,Wednesday,RIC,Holdout,NA
FVQVX9,20/05/2013,05/11/2013,17/01/2014,50,56,12,79.6,0.123287671,N,N,N,Friday,DCX,Estimation,N
QEF6HW,22/12/2012,24/12/2012,08/05/2013,0,0,0,85.23,0.088888889,N,N,N,Thursday,RIC,Validation,Y
X8VYGJ,11/02/2013,11/02/2013,05/11/2013,47,38.29787234,6.382978723,56.32,0.018726592,N,N,N,Wednesday,CHO,Holdout,NA
AGE5SJ,14/05/2011,13/11/2011,07/02/2013,48,0,0,65.98,0.008849558,N,N,N,Monday,CHO,Estimation,N
ZWZGXQ,19/04/2013,19/04/2013,19/04/2013,45,0,0,61.5,0,N,N,N,Thursday,RIC,Estimation,N
ZDDHUG,29/04/2013,16/05/2013,16/05/2013,45,8.888888889,4.444444444,42.87,0,N,N,N,Friday,DCX,Estimation,N
872G6K,13/05/2011,15/05/2011,24/11/2013,39,71.79487179,25.64102564,81.33,0.036796537,N,N,N,Wednesday,CHO,Estimation,N
68W99Y,10/08/2011,19/09/2011,19/02/2013,41,29.26829268,2.43902439,48.02,0.023121387,N,N,N,Friday,RIC,Estimation,N
MBW7SK,12/09/2011,12/09/2011,12/10/2011,45,0,0,41.91,0.066666667,N,N,N,Tuesday,RIC,Validation,N
5D9BPN,13/05/2011,20/06/2011,15/08/2011,35,82.85714286,0,38.91,0.035714286,N,N,N,Tuesday,CHO,Estimation,N
PE8TLA,28/08/2012,05/12/2012,05/05/2013,0,0,0,41.16,0.01986755,Y,N,N,Friday,RIC,Estimation,Y
ECH3RM,28/01/2013,30/01/2013,20/02/2013,46,4.347826087,4.347826087,65.73,0.19047619,N,N,N,Wednesday,RIC,Holdout,NA
6JV2LR,07/01/2013,14/01/2013,16/12/2013,51,33.33333333,0,134.07,0.041666667,N,N,N,Tuesday,RIC,Validation,N
MZ4KS2,25/03/2013,25/03/2013,25/03/2013,0,0,0,65.04,0,N,N,N,Tuesday,CHO,Estimation,Y
3JTYMY,09/11/2011,09/11/2011,23/01/2013,46,2.173913043,0,69.42,0.056689342,Y,N,N,Wednesday,CHO,Estimation,N
22KC9U,15/03/2012,15/03/2012,17/11/2013,51,5.882352941,1.960784314,129.21,0.034313725,N,N,N,Monday,CHO,Estimation,N
B7JPAA,03/01/2013,13/11/2013,13/11/2013,43,6.976744186,NA,67.92,0,Y,N,N,Thursday,RIC,Estimation,N
BKUVQL,02/06/2013,02/06/2013,02/06/2013,45,2.222222222,0,68.67,0,Y,N,N,Monday,RIC,Validation,N
CGW5GF,02/10/2012,09/01/2013,09/01/2013,43,37.20930233,0,54.81,0,N,N,N,Saturday,BWI,Estimation,N
HWKXVD,09/09/2012,17/10/2012,17/10/2012,0,0,0,122.7,0,N,N,N,Sunday,DCX,Holdout,NA
DDV9XQ,10/07/2012,17/10/2012,20/11/2012,0,0,0,71.49,0.088235294,N,N,N,Thursday,CHO,Holdout,NA
AU8PYM,28/08/2012,31/07/2012,23/02/2013,47,0,0,54.13,0.038647343,N,N,N,Thursday,DCX,Estimation,N
72GPBE,22/01/2013,23/01/2013,23/01/2013,43,11.62790698,11.62790698,84.75,0,N,N,N,Wednesday,CHO,Validation,N
WJHQH7,10/06/2013,10/06/2013,10/06/2013,0,0,0,49.32,0,Y,N,N,Wednesday,DCX,Estimation,Y
C7TJMB,19/03/2013,19/03/2013,19/03/2013,44,2.272727273,2.272727273,40,0,N,N,N,Saturday,DCX,Estimation,N
E8RH2T,13/02/2013,27/02/2013,27/02/2013,40,20,7.5,51.97,0,N,N,N,Thursday,DCX,Estimation,N
824KNZ,09/06/2013,27/07/2013,27/07/2013,44,6.818181818,4.545454545,88.38,0,Y,N,N,Wednesday,DCX,Estimation,N
TKJFG8,21/09/2012,21/09/2012,04/11/2012,8,37.5,0,56.61,0.045454545,N,N,N,Monday,CHO,Validation,Y
BZXQU2,26/10/2011,26/10/2011,29/12/2013,43,6.976744186,2.325581395,211.36,0.012578616,N,N,Y,Sunday,DCX,Holdout,NA
QD4ENY,05/03/2013,02/10/2013,13/12/2013,43,4.651162791,0,54.34,0.027777778,N,N,N,Thursday,CHO,Validation,N
JKGKAY,30/04/2013,22/10/2013,16/12/2013,48,20.83333333,8.333333333,66.93,0.036363636,Y,N,N,Thursday,DCX,Estimation,N
GS25JM,13/06/2013,27/06/2013,27/06/2013,41,39.02439024,0,293.41,0,Y,N,N,Saturday,DCX,Estimation,N
WSBDBC,29/11/2012,22/03/2013,22/03/2013,45,0,NA,51.53,0,N,N,N,Thursday,DCX,Estimation,N
DN8J9F,28/08/2012,25/06/2013,25/06/2013,0,0,0,151.56,0,N,N,N,Saturday,BWI,Estimation,Y
6GMXYZ,04/01/2013,06/01/2013,06/10/2013,42,50,7.142857143,51.1,0.091575092,Y,N,N,Tuesday,DCX,Estimation,N
6V8YDW,19/05/2013,01/07/2013,12/11/2013,45,26.66666667,6.666666667,109.15,0.037313433,N,N,N,Wednesday,DCX,Estimation,N
8VJMPK,14/05/2013,25/08/2013,31/12/2013,48,31.25,16.66666667,65.68,0.0703125,N,N,N,Monday,DCX,Estimation,N
299YA5,28/08/2012,11/09/2012,25/06/2013,48,6.25,2.083333333,69.96,0.041811847,Y,N,N,Wednesday,DCX,Holdout,NA
MV4DM2,27/11/2012,28/03/2013,27/08/2013,0,0,0,111.31,0.013157895,Y,N,N,Friday,RIC,Estimation,Y
UMZSK6,19/05/2013,23/06/2013,14/07/2013,47,0,0,113.37,0.19047619,N,N,N,Monday,CHO,Estimation,N
2TACKD,28/04/2013,28/04/2013,28/04/2013,41,4.87804878,NA,93.68,0,N,N,N,Monday,DCX,Validation,Y
RUY7QF,12/11/2012,12/11/2012,12/11/2012,44,2.272727273,0,67.03,0,N,N,N,Wednesday,DCX,Estimation,N
LZ4YD9,09/06/2013,09/06/2013,09/06/2013,45,0,0,101.43,0,Y,N,N,Monday,RIC,Holdout,NA
ZVWDSW,02/02/2013,12/02/2013,12/01/2014,33,100,36.36363636,74.31,0.008982036,N,N,N,Monday,RIC,Holdout,NA
X7MNLF,28/08/2012,20/07/2012,21/02/2013,0,0,0,70.54,0.12037037,Y,N,N,Sunday,DCX,Estimation,Y
KZG5XF,18/05/2011,19/05/2011,14/04/2013,0,0,0,83.6,0.002873563,N,N,N,Thursday,CHO,Validation,Y
2YQRG9,30/04/2013,30/04/2013,24/07/2013,6,16.66666667,0,78.61,0.023529412,N,N,N,Friday,DCX,Validation,Y
PQF7D8,31/10/2012,08/04/2013,25/07/2013,45,8.888888889,8.888888889,48.13,0.037037037,N,N,N,Friday,CHO,Estimation,N
GQVZCP,31/08/2011,31/08/2011,24/01/2012,46,4.347826087,2.173913043,22.6,0.020547945,N,N,N,Friday,RIC,Validation,N
ZG98Z8,01/06/2013,16/07/2013,16/07/2013,45,13.33333333,2.222222222,94.35,0,Y,N,N,Monday,RIC,Estimation,N
4MT3VD,01/04/2013,02/04/2013,05/04/2013,44,2.272727273,0,118.97,0.666666667,N,N,N,Wednesday,CHO,Validation,N
NKZLRR,17/06/2013,18/06/2013,18/06/2013,39,28.20512821,2.564102564,52.53,0,Y,N,N,Thursday,RIC,Estimation,N
YWAZXT,06/02/2013,22/03/2013,19/08/2013,32,84.375,12.5,54.94,0.026666667,Y,N,N,Tuesday,CHO,Estimation,N
YTR84M,18/04/2013,14/08/2013,14/08/2013,9,22.22222222,0,59.61,0,N,N,N,Thursday,DCX,Validation,Y
96M9NQ,03/04/2013,19/08/2013,19/08/2013,27,92.59259259,3.703703704,89.5,0,N,N,N,Tuesday,RIC,Holdout,NA
2FEDWV,22/06/2013,04/07/2013,04/07/2013,45,0,NA,46.65,0,Y,N,N,Friday,RIC,Estimation,N
4LS82X,09/02/2012,07/11/2012,12/12/2012,0,0,0,30.5,0.085714286,N,N,N,Wednesday,CHO,Estimation,Y
RW4KTD,27/02/2013,26/03/2013,07/12/2013,31,3.225806452,0,52.34,0.015625,N,N,N,Monday,RIC,Estimation,N
D2WDP2,22/10/2012,22/10/2012,22/10/2012,35,2.857142857,NA,97.48,0,N,N,N,Sunday,DCX,Validation,N
X5C7BR,26/05/2012,26/05/2012,21/09/2012,48,6.25,0,43.68,0.144067797,N,N,N,Friday,RIC,Estimation,N
2YDXE4,19/12/2012,02/01/2013,09/04/2013,10,10,0,87.56,0.082474227,Y,N,N,Thursday,DCX,Estimation,Y
ZE46DD,25/05/2013,28/05/2013,28/05/2013,45,0,0,100.29,0,Y,N,N,Saturday,BWI,Estimation,N
8785G5,21/03/2013,17/12/2013,17/12/2013,41,58.53658537,0,63.05,0,Y,N,N,Tuesday,DCX,Estimation,N
Q7JT9R,23/03/2013,24/03/2013,24/03/2013,45,2.222222222,0,61.65,0,N,N,N,Monday,RIC,Estimation,N
73FC7M,03/01/2013,03/01/2013,03/01/2013,44,15.90909091,0,43.98,0,N,N,N,Monday,RIC,Holdout,NA
WV7YUK,08/02/2012,09/02/2012,04/12/2013,45,22.22222222,NA,78.44,0.057228916,Y,N,N,Wednesday,CHO,Estimation,N
E64ZHZ,11/03/2013,11/03/2013,27/04/2013,39,25.64102564,7.692307692,81.35,0.042553191,N,N,N,Tuesday,RIC,Estimation,N
93LLB2,30/03/2013,08/05/2013,08/05/2013,42,45.23809524,2.380952381,10.19,0,N,N,N,Thursday,RIC,Validation,N
C479F2,21/04/2013,27/04/2013,27/04/2013,45,13.33333333,4.444444444,51.65,0,N,N,N,Monday,CHO,Holdout,NA
36NVAG,23/05/2011,07/08/2011,06/01/2014,46,39.13043478,2.173913043,94.12,0.124575311,Y,N,N,Tuesday,CHO,Estimation,N
LJRWGT,05/02/2013,05/02/2013,11/07/2013,44,20.45454545,0,107.46,0.019230769,N,N,N,Saturday,DCX,Estimation,N
UW4NJF,26/03/2013,26/03/2013,04/08/2013,0,0,0,101.38,0.099236641,Y,N,N,Wednesday,RIC,Validation,Y
DPEF5D,04/05/2013,27/05/2013,03/11/2013,41,29.26829268,9.756097561,32.73,0.03125,Y,N,N,Tuesday,DCX,Estimation,N
2K5ETA,03/03/2013,03/03/2013,16/01/2014,55,34.54545455,1.818181818,57.31,0.112852665,Y,N,Y,Wednesday,CHO,Estimation,N
53C6TL,28/01/2013,28/01/2013,19/01/2014,57,47.36842105,24.56140351,47.41,0.120786517,Y,Y,N,Monday,CHO,Estimation,N
PAQRD4,25/05/2012,28/05/2012,04/06/2012,45,0,0,67.57,0.285714286,N,N,N,Tuesday,RIC,Holdout,NA
RDQ7CV,17/06/2013,17/06/2013,18/06/2013,45,0,0,50.45,2,Y,N,N,Tuesday,BWI,Estimation,N
Y47QKG,05/01/2013,16/01/2013,16/01/2013,45,0,0,50.65,0,N,N,N,Wednesday,RIC,Validation,N
SY7DFF,25/02/2013,25/02/2013,25/02/2013,45,0,0,31.26,0,N,N,N,Thursday,CHO,Estimation,N
8NH5GX,29/04/2013,06/06/2013,27/06/2013,35,80,0,36.89,0.095238095,N,N,N,Friday,DCX,Estimation,N
TDAZR8,12/08/2011,18/05/2012,06/04/2013,49,4.081632653,0,111.9,0.015479876,N,N,N,Monday,CHO,Estimation,N
2CVY3R,10/10/2012,10/10/2012,26/12/2013,2,50,0,102.38,0.015837104,N,N,N,Thursday,RIC,Validation,Y
J7XHWM,13/04/2013,13/04/2013,13/04/2013,5,60,0,45.21,0,N,N,N,Tuesday,CHO,Validation,Y
KEJJRC,27/03/2012,01/07/2013,11/12/2013,48,8.333333333,6.25,63.03,0.036809816,Y,N,N,Wednesday,RIC,Holdout,NA
47TP9X,28/08/2012,30/08/2012,18/11/2013,44,6.818181818,4.545454545,152.94,0.015730337,N,N,N,Sunday,DCX,Validation,N
DEXS8V,07/09/2011,08/09/2011,18/02/2013,30,33.33333333,3.333333333,38.53,0.009451796,N,N,N,Tuesday,RIC,Estimation,Y
2P4QUU,07/05/2013,07/05/2013,20/08/2013,31,90.32258065,NA,49.75,0.019047619,N,N,N,Wednesday,RIC,Holdout,NA
8Q4VAG,22/06/2013,23/06/2013,23/06/2013,39,35.8974359,2.564102564,126.61,0,Y,N,N,Wednesday,DCX,Holdout,NA
DGVESH,01/04/2013,01/04/2013,01/04/2013,45,0,0,53.46,0,N,N,N,Wednesday,CHO,Estimation,N
PSK964,14/01/2012,16/02/2012,21/03/2012,0,0,0,94.82,0.117647059,N,N,N,Friday,CHO,Estimation,Y
K7NC6D,29/06/2011,29/06/2011,04/11/2013,52,5.769230769,1.923076923,154.68,0.029103609,N,N,N,Friday,RIC,Holdout,NA
FEGRVG,24/09/2011,27/09/2011,10/01/2012,47,4.255319149,NA,500,0.028571429,N,N,N,Wednesday,CHO,Holdout,NA
ETG35K,20/04/2013,29/05/2013,04/11/2013,49,8.163265306,4.081632653,57.23,0.018867925,Y,N,N,Tuesday,RIC,Estimation,N
LDY2QY,02/02/2013,01/07/2013,01/07/2013,31,77.41935484,3.225806452,49.27,0,N,N,N,Tuesday,RIC,Validation,N
VZKB2N,25/02/2013,12/03/2013,14/01/2014,46,17.39130435,4.347826087,62.58,0.012987013,N,N,N,Thursday,DCX,Estimation,N
RZEXD7,03/01/2012,09/07/2012,09/07/2012,45,0,0,96.69,0,N,N,N,Thursday,CHO,Holdout,NA
LAYJGC,25/01/2013,27/01/2013,27/01/2013,45,0,0,182.71,0,N,N,N,Monday,CHO,Validation,N
88KAQ6,11/05/2012,11/05/2012,06/01/2014,46,52.17391304,17.39130435,110.76,0.072727273,Y,N,N,Thursday,CHO,Estimation,N
BXRMV5,10/06/2013,10/06/2013,14/10/2013,16,31.25,0,135.09,0.134920635,Y,Y,N,Monday,RIC,Estimation,Y
FSD9ER,27/05/2013,15/07/2013,15/07/2013,10,20,0,35.88,0,Y,N,N,Tuesday,CHO,Estimation,Y
JEP465,06/01/2013,01/03/2013,16/09/2013,46,13.04347826,4.347826087,51.3,0.050251256,N,Y,N,Tuesday,DCX,Validation,N
8YSGMT,22/06/2013,23/06/2013,23/06/2013,7,100,0,85.85,0,N,N,N,Monday,RIC,Estimation,Y
DVRMBS,28/08/2012,24/07/2012,27/11/2012,47,0,0,111.44,0.055555556,N,N,N,Thursday,DCX,Holdout,NA
CA5YKU,03/11/2012,23/04/2013,23/04/2013,0,0,0,45,0,N,N,N,Tuesday,DCX,Estimation,Y
WDW9MZ,13/09/2011,15/09/2011,10/11/2013,51,9.803921569,1.960784314,72.22,0.008894536,N,N,N,Friday,RIC,Validation,N
NT8EBL,03/06/2013,25/06/2013,25/06/2013,45,0,0,99.26,0,Y,N,N,Wednesday,DCX,Estimation,N
HBWLYQ,16/06/2013,16/06/2013,16/06/2013,45,4.444444444,2.222222222,52.46,0,Y,N,N,Friday,RIC,Estimation,N
54WKHS,29/01/2013,03/02/2013,18/11/2013,47,0,0,63.42,0.020833333,Y,N,N,Tuesday,RIC,Estimation,N
FDBHCB,03/06/2013,03/06/2013,19/01/2014,54,14.81481481,NA,50.88,0.047826087,Y,N,N,Thursday,RIC,Estimation,N
9M9CDR,13/03/2012,18/04/2012,14/08/2013,41,48.7804878,NA,153.81,0.022774327,N,N,N,Thursday,RIC,Estimation,N
D7UYGE,16/02/2012,21/01/2013,21/01/2013,10,70,0,53.64,0,N,N,N,Tuesday,CHO,Validation,Y
M9HL6Y,15/05/2011,16/05/2011,04/03/2013,48,2.083333333,NA,57.51,0.041033435,Y,N,N,Tuesday,CHO,Estimation,N
758UCM,28/05/2013,24/06/2013,24/06/2013,44,9.090909091,0,55.51,0,Y,N,N,Wednesday,CHO,Holdout,NA
A9WR8E,15/06/2013,16/06/2013,16/06/2013,43,18.60465116,0,30.42,0,Y,N,N,Tuesday,RIC,Holdout,NA
RPP5HQ,23/05/2011,12/07/2013,01/12/2013,36,88.88888889,5.555555556,83.94,0.014084507,Y,N,N,Tuesday,CHO,Estimation,N
AC735W,19/05/2011,07/06/2011,21/09/2011,44,18.18181818,6.818181818,30.1,0.056603774,N,N,N,Wednesday,RIC,Estimation,N
BL9WWD,11/05/2011,20/05/2011,03/04/2012,47,25.53191489,0,47.9,0.05015674,Y,N,N,Wednesday,RIC,Validation,N
BMCWEL,12/04/2013,16/04/2013,02/07/2013,44,18.18181818,0,62.12,0.051948052,N,N,N,Thursday,CHO,Holdout,NA
5SHGPH,26/06/2013,04/07/2013,04/07/2013,0,0,0,53.88,0,Y,N,N,Saturday,BWI,Holdout,NA
V6YN7L,15/09/2012,29/10/2012,27/05/2013,39,46.15384615,10.25641026,56.3,0.014285714,N,N,N,Saturday,DCX,Holdout,NA
U5GYED,13/05/2013,13/05/2013,13/05/2013,13,7.692307692,0,55.39,0,N,N,N,Tuesday,RIC,Holdout,NA
MNRP2P,15/05/2013,15/05/2013,15/05/2013,45,2.222222222,2.222222222,53.12,0,N,N,N,Friday,DCX,Holdout,NA
JAMKC3,23/04/2013,24/04/2013,24/04/2013,1,0,0,50.05,0,N,N,N,Tuesday,DCX,Estimation,Y
HJURGR,28/08/2012,30/12/2012,30/12/2012,40,37.5,5,60.5,0,N,N,N,Thursday,DCX,Estimation,N
AVY6WE,28/05/2012,28/05/2012,19/01/2014,68,11.76470588,4.411764706,65.15,0.139767055,Y,Y,N,Monday,CHO,Validation,N
CCZER8,12/05/2013,14/05/2013,04/09/2013,43,20.93023256,2.325581395,52.91,0.017699115,N,N,N,Wednesday,CHO,Estimation,N
6VX3KN,21/04/2013,07/05/2013,07/05/2013,42,2.380952381,0,49.8,0,N,N,N,Thursday,CHO,Estimation,N
VGUJBF,03/06/2013,10/06/2013,16/07/2013,43,25.58139535,11.62790698,35.68,0.055555556,Y,N,N,Tuesday,RIC,Estimation,N
L8M3FR,08/10/2012,08/10/2012,14/01/2014,2,50,50,167.16,0.01511879,N,N,N,Wednesday,CHO,Estimation,Y
Z2Y7LX,16/05/2013,02/06/2013,18/08/2013,44,6.818181818,NA,53.58,0.025974026,N,N,N,Monday,RIC,Validation,N
X97TAN,13/01/2013,13/01/2013,13/01/2013,45,0,NA,40.9,0,N,N,N,Monday,RIC,Validation,N
JH7G6U,24/05/2011,25/05/2011,02/01/2014,44,81.81818182,6.818181818,73.44,0.045120672,N,N,N,Friday,CHO,Validation,N
477PXA,20/05/2013,20/05/2013,03/06/2013,44,6.818181818,0,40.42,0.142857143,N,N,N,Wednesday,DCX,Validation,N
Y2T4WR,19/06/2013,10/07/2013,14/08/2013,45,2.222222222,2.222222222,32.41,0.085714286,Y,N,N,Thursday,RIC,Validation,N
P9GD24,03/03/2013,16/03/2013,29/03/2013,45,11.11111111,NA,84.76,0.153846154,Y,N,N,Tuesday,DCX,Validation,N
9R4HHY,29/03/2013,02/04/2013,02/04/2013,45,0,0,11.25,0,Y,N,N,Wednesday,RIC,Validation,N
X36N6R,30/05/2011,30/05/2011,13/11/2012,2,50,0,139.25,0.103189493,N,N,N,Tuesday,RIC,Holdout,NA
XFK8CE,06/10/2012,31/01/2013,31/01/2013,45,4.444444444,4.444444444,49.56,0,N,N,N,Friday,RIC,Estimation,N
FYZFZK,15/02/2012,20/02/2012,02/07/2012,45,4.444444444,2.222222222,115.25,0.022556391,N,N,N,Tuesday,CHO,Validation,N
F4TDXG,09/08/2012,25/08/2012,13/01/2014,48,8.333333333,6.25,86.19,0.027667984,Y,N,N,Friday,CHO,Holdout,NA
HWCAG2,24/06/2012,02/07/2012,14/10/2013,39,51.28205128,10.25641026,101.14,0.017057569,N,N,N,Tuesday,CHO,Estimation,N
N9KXW5,29/12/2011,03/01/2012,12/01/2012,44,2.272727273,0,30.89,0.222222222,N,N,N,Friday,RIC,Validation,N
TEFC2D,16/05/2011,01/06/2011,22/03/2013,0,0,0,70.15,0.007575758,N,N,N,Monday,CHO,Estimation,Y
ZCPP72,10/11/2012,02/05/2013,02/05/2013,29,89.65517241,6.896551724,54.31,0,N,N,N,Tuesday,DCX,Validation,N
FRMAUN,11/06/2013,13/06/2013,13/06/2013,45,0,0,88.47,0,Y,N,N,Wednesday,DCX,Validation,N
3FZBLD,15/05/2011,15/05/2011,15/05/2011,0,0,0,57.19,0,N,N,N,Monday,RIC,Estimation,Y
WSHLKZ,29/05/2013,29/05/2013,05/11/2013,37,94.59459459,NA,50.88,0.0375,Y,N,N,Friday,RIC,Estimation,N
3KCTL3,02/05/2013,02/05/2013,17/11/2013,38,86.84210526,2.631578947,47.32,0.010050251,N,N,N,Friday,RIC,Validation,N
ML9KNH,29/01/2013,11/02/2013,26/09/2013,41,48.7804878,14.63414634,31.27,0.052863436,Y,N,N,Tuesday,RIC,Estimation,N
A45BM9,04/02/2013,05/02/2013,20/08/2013,3,66.66666667,0,32.25,0.132653061,Y,N,N,Tuesday,RIC,Estimation,Y
KQ4JJH,30/09/2012,01/10/2012,12/12/2013,1,0,0,78.07,0.020594966,Y,N,N,Tuesday,CHO,Estimation,Y
772STT,27/05/2013,28/05/2013,28/05/2013,35,51.42857143,0,57.29,0,Y,N,N,Wednesday,RIC,Holdout,NA
W5K39R,30/06/2012,06/07/2012,21/02/2013,0,0,0,66.42,0.013043478,N,N,N,Friday,RIC,Estimation,Y
ZLWBBL,08/11/2012,08/11/2012,03/12/2013,0,0,0,29.35,0.007692308,N,N,N,Wednesday,CHO,Estimation,Y
DTSW75,11/03/2013,08/04/2013,21/08/2013,45,8.888888889,2.222222222,148.4,0.022222222,N,N,N,Tuesday,CHO,Estimation,N
QATGTK,21/04/2013,28/04/2013,17/12/2013,3,33.33333333,0,86.17,0.060085837,Y,Y,Y,Wednesday,RIC,Estimation,Y
ZGQMD3,09/09/2012,21/11/2013,21/11/2013,39,38.46153846,12.82051282,80.04,0,N,N,N,Saturday,DCX,Estimation,N
DQJWEJ,26/06/2013,13/07/2013,13/10/2013,0,0,0,35.34,0.02173913,Y,N,N,Wednesday,CHO,Estimation,Y
9ZCML5,19/12/2012,19/12/2012,19/12/2013,55,12.72727273,7.272727273,91.87,0.01369863,N,N,N,Thursday,RIC,Validation,N
XUP6SX,28/07/2012,28/07/2012,16/12/2013,49,22.44897959,6.12244898,55.08,0.031620553,Y,N,N,Tuesday,CHO,Estimation,N
FTK5TU,01/06/2013,02/06/2013,16/10/2013,41,53.65853659,7.317073171,61.78,0.022058824,Y,N,N,Thursday,DCX,Holdout,NA
75J3MH,03/06/2013,22/06/2013,17/09/2013,45,8.888888889,4.444444444,90.61,0.022988506,N,N,N,Wednesday,DCX,Estimation,N
6DYDXJ,28/08/2012,21/04/2013,24/06/2013,34,5.882352941,0,74.89,0.03125,N,N,N,Sunday,DCX,Holdout,NA
HQB5C6,16/11/2012,18/11/2012,05/05/2013,46,10.86956522,2.173913043,75.48,0.023809524,Y,N,N,Monday,CHO,Validation,N
292EQK,28/08/2012,16/08/2012,07/08/2013,37,5.405405405,2.702702703,75.15,0.08988764,N,N,N,Sunday,DCX,Estimation,N
3XTJP8,22/04/2013,25/04/2013,25/04/2013,45,0,0,42.05,0,N,N,N,Friday,CHO,Estimation,N
57ALKF,12/01/2012,03/02/2012,16/01/2014,38,68.42105263,57.89473684,61.94,0.025245442,Y,N,N,Friday,CHO,Estimation,N
2Q7CV2,19/03/2013,19/03/2013,05/11/2013,38,71.05263158,15.78947368,115.59,0.03030303,N,N,N,Wednesday,RIC,Holdout,NA
QG9CRT,14/01/2013,14/01/2013,22/03/2013,33,6.060606061,0,162.33,0.044776119,N,N,N,Monday,CHO,Holdout,NA
9RG8NQ,13/06/2013,22/06/2013,22/06/2013,41,36.58536585,0,93.37,0,Y,N,N,Tuesday,BWI,Validation,N
E2E4XL,10/11/2011,13/11/2011,13/01/2014,67,14.92537313,1.492537313,68.88,0.126262626,Y,NA,NA,Tuesday,RIC,Validation,N
9GD2M3,28/08/2012,23/06/2013,15/07/2013,35,74.28571429,17.14285714,69.4,0.136363636,N,N,N,Monday,DCX,Estimation,N
K7C3PB,28/08/2012,20/01/2013,07/02/2013,37,45.94594595,0,113.82,0.166666667,Y,N,N,Tuesday,DCX,Estimation,N
XPUVL3,28/05/2013,17/06/2013,17/06/2013,45,6.666666667,NA,76.78,0,Y,N,N,Tuesday,DCX,Holdout,NA
9MV24J,12/10/2012,07/01/2013,24/10/2013,43,23.25581395,0,86,0.010344828,Y,N,N,Friday,RIC,Holdout,NA
P4NCCK,18/01/2013,13/02/2013,13/02/2013,44,2.272727273,2.272727273,46.87,0,N,N,N,Thursday,CHO,Holdout,NA
PNM88R,15/06/2013,24/07/2013,24/07/2013,45,2.222222222,0,89.53,0,Y,N,N,Friday,RIC,Estimation,N
H9LT3B,28/08/2012,20/06/2013,30/12/2013,3,100,0,39.5,0.041450777,N,Y,N,Tuesday,DCX,Holdout,NA
ZLVYXL,19/12/2012,05/03/2013,05/03/2013,46,2.173913043,2.173913043,158.28,0,N,N,N,Thursday,DCX,Estimation,N
YK5HAU,17/10/2011,17/10/2011,17/10/2011,43,11.62790698,NA,28.35,0,N,N,N,Wednesday,RIC,Holdout,NA
ZJ75BB,03/09/2012,07/07/2013,28/07/2013,45,11.11111111,0,57.01,0.19047619,Y,N,N,Monday,DCX,Estimation,N
8U3HBE,16/11/2012,25/11/2012,25/11/2012,42,19.04761905,4.761904762,46.12,0,N,N,N,Thursday,RIC,Validation,N
7BK2BU,03/10/2011,04/10/2011,03/11/2013,50,0,0,54.87,0.068331143,Y,Y,N,Monday,CHO,Validation,N
QEM3C3,10/06/2011,16/06/2011,08/12/2011,47,6.382978723,NA,69.75,0.022857143,N,N,N,Monday,RIC,Estimation,N
DSR7X7,20/05/2013,20/05/2013,20/05/2013,46,4.347826087,0,63.12,0,N,N,N,Tuesday,RIC,Estimation,N
BMTQ25,24/07/2012,04/09/2012,15/01/2014,59,42.37288136,NA,160.37,0.176706827,Y,Y,N,Thursday,RIC,Estimation,N
MEN63P,22/06/2013,15/07/2013,24/11/2013,46,36.95652174,15.2173913,62.39,0.128787879,Y,N,N,Tuesday,RIC,Holdout,NA
